Facilities_id,Facilities_mode,Facilities_age,Facilities_height,Facilities_location,Employee_id
243,false,8,1351,East,243
244,false,11,835,East,244
245,false,5,,,
246,true,13,931,North,246
247,false,8,452,East,247
248,true,2,612,South,248
249,false,3,710,South,249
250,false,6,1503,North,250
251,false,2,1083,West,251
252,false,6,,,
253,false,10,865,North,253
254,true,6,1366,West,254
255,true,6,831,North,255
256,true,2,437,West,256
257,true,10,1591,East,257
258,true,5,1228,North,258
259,true,12,,,
260,false,4,1488,North,260
261,true,11,999,East,261
262,false,3,1937,West,262
263,false,10,1139,West,263
264,true,9,1750,East,264
265,false,4,578,North,265
266,false,4,2003,East,266
267,false,5,,,
268,false,2,398,South,268
269,false,9,362,South,269
270,true,6,1690,East,270
271,true,10,1857,West,271
272,true,7,972,West,272
273,false,2,1965,West,273
274,false,7,1024,East,274
275,false,8,1087,North,275
276,true,10,1623,East,276
277,true,12,1316,West,277
278,true,8,,,
279,false,6,182,North,279
280,true,8,184,West,280
281,true,9,639,West,281
282,true,12,1589,East,282
283,false,7,,,
284,false,13,,,
285,false,7,907,North,285
286,false,11,1551,South,286
287,false,3,1328,South,287
288,true,10,,,
289,true,6,861,East,289
290,true,8,1655,West,290
291,false,6,1035,East,291
292,false,11,,,
293,false,2,547,South,293
294,false,5,275,East,294
295,false,7,1508,South,295
296,false,10,301,East,296
297,false,2,1711,East,297
298,true,6,,,
299,false,14,2000,South,299
300,true,14,1468,North,300
301,true,5,1933,North,301
302,true,10,1235,North,302
303,true,14,1526,North,303
304,false,14,1806,North,304
305,true,9,490,North,305
306,false,11,1946,North,306
307,false,4,501,East,307
308,true,10,1214,South,308
309,false,13,314,South,309
310,false,6,,,
311,true,9,651,North,311
312,false,12,,,
313,true,4,728,West,313
314,false,9,1916,North,314
315,false,5,703,West,315
316,true,6,,,
317,false,3,1498,West,317
318,true,3,508,West,318
319,false,12,138,North,319
320,false,2,301,North,320
321,false,5,,,
322,false,7,1223,North,322
323,false,2,1754,West,323
324,true,3,1549,North,324
325,true,7,,,
326,false,5,617,East,326
327,false,6,695,North,327
328,true,12,725,North,328
329,false,8,196,East,329
330,false,6,1150,West,330
331,true,14,514,North,331
332,false,3,263,North,332
333,true,8,1051,East,333
334,true,5,491,East,334
335,false,12,1379,West,335
336,true,12,1709,North,336
337,true,9,1382,North,337
338,false,6,,,
339,false,14,198,North,339
340,true,4,886,North,340
341,true,13,1324,West,341
342,true,9,,,
343,true,7,1508,North,343
344,false,2,1276,East,344
345,false,13,1598,West,345
346,false,11,770,South,346
347,false,14,1869,West,347
348,false,7,278,North,348
349,false,2,,,
350,true,11,,,
351,false,13,357,South,351
352,false,14,341,South,352
353,true,4,750,West,353
354,false,14,,,
355,true,3,1893,West,355
356,false,4,1015,West,356
357,false,2,2001,East,357
358,false,5,1912,North,358
359,false,11,1611,West,359
360,true,5,,,
361,true,13,442,West,361
362,true,13,1203,South,362
363,true,6,533,South,363
364,false,3,986,East,364
365,true,12,559,South,365
366,false,8,379,North,366
367,true,4,,,
368,true,12,1212,West,368
369,false,10,1722,West,369
370,true,3,,,
371,true,12,961,West,371
372,false,12,1960,North,372
373,false,14,1341,South,373
374,false,2,887,East,374
375,true,5,2001,East,375
376,true,13,879,North,376
377,true,5,853,South,377
378,true,7,1400,North,378
379,false,10,,,
380,true,6,433,West,380
381,true,2,1307,South,381
382,false,3,938,East,382
383,false,7,263,East,383
384,false,8,934,West,384
385,true,4,1730,North,385
386,false,13,2038,East,386
387,false,3,1387,South,387
388,false,11,1542,West,388
389,true,8,647,East,389
390,true,3,612,East,390
391,false,6,745,West,391
392,false,2,1042,North,392
393,false,5,1582,West,393
394,false,2,,,
395,true,9,503,North,395
396,true,11,1690,North,396
397,false,14,1723,East,397
398,true,4,1091,North,398
399,true,3,1784,East,399
400,false,6,1682,East,400
401,false,10,2044,North,401
402,true,7,1546,East,402
403,true,6,708,East,403
404,false,4,1887,West,404
405,true,12,1641,West,405
406,true,8,648,West,406
407,true,4,1278,North,407
408,true,10,1413,East,408
409,false,14,,,
410,true,10,1194,South,410
411,true,3,136,North,411
412,false,13,,,
413,false,13,1222,West,413
414,true,13,1124,North,414
415,false,13,1310,North,415
416,false,14,1019,North,416
417,false,6,638,West,417
418,true,13,1992,North,418
419,false,4,1432,North,419
420,true,9,425,East,420
421,false,6,1609,East,421
422,false,13,292,East,422
423,true,7,730,East,423
424,true,9,722,East,424
425,true,11,129,East,425
426,false,2,197,East,426
427,false,14,129,West,427
428,false,2,1674,West,428
429,true,2,1824,South,429
430,false,8,,,
431,true,7,578,West,431
432,false,11,547,East,432
433,true,10,1396,South,433
434,false,14,1825,South,434
435,true,4,992,South,435
436,true,6,817,South,436
437,true,6,,,
438,true,7,1113,North,438
439,false,14,369,West,439
440,true,2,750,South,440
441,true,2,664,North,441
442,false,9,586,West,442
443,true,5,1183,West,443
444,true,11,343,East,444
445,true,6,260,West,445
446,true,9,,,
447,true,7,1381,West,447
448,false,6,466,East,448
449,true,8,,,
450,false,14,204,West,450
451,false,11,,,
452,false,4,,,
453,false,14,356,East,453
454,false,5,245,North,454
455,false,9,833,East,455
456,false,13,1197,West,456
457,false,10,508,East,457
458,true,11,,,
459,true,5,524,West,459
460,true,4,1199,West,460
461,true,7,1342,West,461
462,false,7,559,North,462
463,true,11,141,West,463
464,true,7,1262,North,464
465,true,14,448,East,465
466,true,4,387,East,466
467,false,9,1589,East,467
468,true,12,193,North,468
469,true,6,1944,West,469
470,true,3,843,North,470
471,false,12,1462,South,471
472,true,3,,,
473,true,10,1919,West,473
474,false,7,911,West,474
475,true,3,1495,North,475
476,false,6,316,North,476
477,false,13,715,East,477
478,true,6,1736,North,478
479,false,13,1281,West,479
480,true,7,463,North,480
481,false,14,385,West,481
482,false,9,1259,East,482
483,true,13,,,
484,true,6,1174,South,484
485,false,2,1238,North,485
486,false,2,832,South,486
487,true,10,555,East,487
488,true,14,1785,South,488
489,false,3,,,
490,true,3,1531,North,490
491,true,14,,,
492,false,8,668,East,492
493,false,10,827,North,493
494,false,2,1118,North,494
495,true,7,1051,East,495
496,true,13,1099,East,496
497,false,6,1862,East,497
498,false,5,888,South,498
499,true,14,1151,South,499
500,false,14,523,East,500
501,false,7,671,South,501
502,true,5,,,
503,true,2,1897,South,503
504,false,8,1447,West,504
505,true,9,1282,West,505
506,true,11,985,South,506
507,false,12,625,East,507
508,false,11,1399,East,508
509,false,2,1369,South,509
510,true,2,1610,West,510
511,true,9,1907,West,511
512,true,3,1626,West,512
513,true,9,1561,North,513
514,true,2,961,North,514
515,false,9,1675,East,515
516,false,6,377,East,516
517,true,14,1323,South,517
518,false,8,820,West,518
519,false,10,1499,North,519
520,true,9,984,South,520
521,true,9,342,West,521
522,true,3,2045,North,522
523,true,3,1530,East,523
524,false,4,285,South,524
525,true,2,,,
526,false,13,314,West,526
527,false,5,723,West,527
528,true,9,1464,North,528
529,true,8,181,East,529
530,true,4,1118,East,530
531,true,9,1241,South,531
532,true,11,730,West,532
533,true,10,485,West,533
534,false,7,1382,West,534
535,true,5,811,North,535
536,false,2,666,North,536
537,false,4,1821,North,537
538,false,8,1196,South,538
539,false,4,1955,East,539
540,true,4,720,North,540
541,false,2,973,South,541
542,false,5,398,South,542
543,true,3,812,East,543
544,false,14,395,East,544
545,false,2,794,East,545
546,false,13,1477,West,546
547,false,13,915,West,547
548,true,2,597,East,548
549,false,3,245,South,549
550,false,8,569,West,550
551,true,11,596,South,551
552,false,10,483,West,552
553,true,11,1053,East,553
554,false,9,865,West,554
555,false,6,1796,South,555
556,true,11,165,North,556
557,true,6,943,North,557
558,false,9,790,West,558
559,true,14,676,South,559
560,false,10,520,West,560
561,false,6,199,West,561
562,true,6,698,East,562
563,true,13,598,South,563
564,false,6,,,
565,true,11,,,
566,false,13,1216,East,566
567,false,9,1222,West,567
568,false,13,,,
569,false,13,342,East,569
570,false,10,1800,South,570
571,false,6,513,West,571
572,false,12,2019,West,572
573,true,14,,,
574,true,4,1876,North,574
575,false,2,,,
576,true,2,1366,East,576
577,false,3,147,West,577
578,true,9,191,South,578
579,false,4,1361,South,579
580,false,9,1314,West,580
581,true,8,403,East,581
582,true,9,1918,West,582
583,false,12,1896,North,583
584,true,12,736,East,584
585,true,13,235,South,585
586,false,2,921,East,586
587,false,3,,,
588,false,7,965,West,588
589,true,12,1744,West,589
590,false,11,1358,North,590
591,false,9,455,East,591
592,false,9,981,East,592
593,true,13,1379,East,593
594,false,9,234,East,594
595,true,11,,,
596,false,9,795,South,596
597,false,5,241,East,597
598,false,8,1302,East,598
599,true,6,746,East,599
600,false,5,,,
601,false,6,1577,South,601
602,true,2,324,North,602
603,false,3,1882,North,603
604,true,8,1852,East,604
605,true,9,220,West,605
606,true,13,938,East,606
607,false,12,121,West,607
608,true,9,,,
609,true,7,1285,North,609
610,true,2,1269,South,610
611,false,11,561,North,611
612,true,4,1942,South,612
613,true,4,1572,West,613
614,false,3,602,South,614
615,true,7,,,
616,false,14,1554,North,616
617,true,14,,,
618,true,11,,,
619,false,10,832,North,619
620,false,5,281,West,620
621,true,5,1668,North,621
622,true,2,1841,West,622
623,false,10,974,West,623
624,false,2,2002,North,624
625,false,12,1952,East,625
626,true,3,652,West,626
627,false,4,331,South,627
628,false,5,1944,East,628
629,true,10,1705,North,629
630,false,2,809,East,630
631,false,5,1509,North,631
632,false,13,1421,South,632
633,false,13,1676,East,633
634,true,7,1701,East,634
635,false,11,1370,South,635
636,true,4,546,East,636
637,false,4,,,
638,false,12,1728,South,638
639,false,13,,,
640,true,14,1130,North,640
641,true,8,449,North,641
642,true,9,,,
643,false,4,1897,East,643
644,false,8,666,West,644
645,true,4,511,West,645
646,true,14,1975,East,646
647,true,3,451,West,647
648,false,3,537,North,648
649,true,4,506,East,649
650,false,2,178,North,650
651,false,10,1476,South,651
652,true,8,1474,West,652
653,true,8,1783,East,653
654,true,4,1757,South,654
655,true,13,531,West,655
656,true,12,1453,West,656
657,false,4,,,
658,true,2,1290,North,658
659,true,9,1989,South,659
660,true,8,1337,North,660
661,false,4,729,West,661
662,false,13,,,
663,false,14,,,
664,true,2,1550,West,664
665,false,3,670,West,665
666,false,14,350,West,666
667,false,8,1456,North,667
668,true,12,1169,South,668
669,false,2,715,South,669
670,false,6,1467,East,670
671,true,14,1573,West,671
672,false,14,1912,South,672
673,true,3,1941,North,673
674,true,12,535,West,674
675,false,7,,,
676,true,8,652,North,676
677,true,2,1370,South,677
678,true,2,891,South,678
679,false,4,,,
680,true,10,932,North,680
681,false,7,1576,East,681
682,false,12,1386,North,682
683,true,11,1467,East,683
684,true,9,1288,South,684
685,false,3,1010,West,685
686,false,13,1907,East,686
687,false,12,1277,East,687
688,true,10,690,West,688
689,true,6,,,
690,true,8,233,North,690
691,true,7,2026,West,691
692,false,5,1698,West,692
693,true,14,1672,South,693
694,true,13,1752,West,694
695,false,6,1617,West,695
696,false,2,411,East,696
697,false,6,1124,North,697
698,false,12,1306,West,698
699,false,12,,,
700,false,11,1226,North,700
701,true,7,164,West,701
702,false,10,1309,East,702
703,true,13,1298,North,703
704,true,5,1206,West,704
705,false,6,,,
706,true,7,440,West,706
707,false,13,1282,East,707
708,false,2,215,South,708
709,false,7,1344,South,709
710,true,10,496,East,710
711,false,3,1265,South,711
712,false,9,1436,North,712
713,true,2,1946,West,713
714,true,8,450,East,714
715,true,6,,,
716,true,6,1837,East,716
717,false,2,1263,South,717
718,false,9,1925,East,718
719,true,13,620,East,719
720,true,10,587,West,720
721,true,11,1292,North,721
722,true,7,1529,West,722
723,true,3,1303,North,723
724,false,14,502,West,724
725,false,11,1126,East,725
726,true,11,725,North,726
727,true,14,839,North,727
728,false,10,879,North,728
729,true,14,141,West,729
730,false,5,1097,West,730
731,true,3,1960,East,731
732,false,10,377,East,732
733,true,10,2009,East,733
734,false,4,347,East,734
735,true,10,795,South,735
736,true,10,240,South,736
737,true,9,364,North,737
738,true,13,218,West,738
739,true,7,914,West,739
740,true,8,1997,North,740
741,true,5,618,East,741
742,false,7,545,East,742
743,false,4,981,West,743
744,false,13,1032,North,744
745,false,2,,,
746,false,2,1043,South,746
747,true,13,,,
748,true,11,1446,North,748
749,true,11,1896,East,749
750,false,10,993,West,750
751,false,3,1610,East,751
752,false,8,1716,East,752
753,true,3,1776,West,753
754,false,11,1811,North,754
755,false,13,,,
756,true,13,713,West,756
757,true,10,1952,West,757
758,true,3,135,South,758
759,false,13,618,East,759
760,true,3,1581,West,760
761,true,8,568,West,761
762,true,5,1876,East,762
763,false,3,1213,North,763
764,false,2,830,North,764
765,true,9,1921,South,765
766,false,12,1642,North,766
767,false,5,168,North,767
768,true,6,1074,East,768
769,true,2,393,South,769
770,true,3,592,East,770
771,false,11,899,West,771
772,true,4,1376,South,772
773,false,14,2042,East,773
774,true,6,994,East,774
775,true,3,,,
776,true,6,617,West,776
777,true,5,1340,South,777
778,false,10,1729,West,778
779,true,9,660,North,779
780,false,4,1149,North,780
781,true,9,352,South,781
782,true,2,249,West,782
783,false,6,1597,West,783
784,false,13,382,North,784
785,false,9,299,North,785
786,true,10,1513,North,786
787,false,11,1952,South,787
788,true,11,763,South,788
789,false,13,1515,East,789
790,true,11,358,East,790
791,true,12,,,
792,false,9,1722,South,792
793,false,6,1880,East,793
794,false,7,1861,West,794
795,true,5,1573,South,795
796,false,12,1779,East,796
797,false,7,,,
798,true,8,654,South,798
799,true,6,995,West,799
800,true,11,1088,West,800
801,true,14,679,South,801
802,false,6,1382,North,802
803,true,12,1791,East,803
804,false,13,1261,South,804
805,false,9,1617,West,805
806,false,10,2007,South,806
807,true,3,1076,West,807
808,true,8,763,South,808
809,false,12,414,North,809
810,true,14,1206,North,810
811,false,8,1486,South,811
812,false,8,1259,East,812
813,true,5,169,West,813
814,true,14,1394,West,814
815,true,9,964,South,815
816,true,5,764,North,816
817,false,7,1473,South,817
818,false,9,1251,South,818
819,true,12,928,South,819
820,true,2,,,
821,true,3,773,East,821
822,true,8,848,South,822
823,false,9,1727,West,823
824,true,4,1740,North,824
825,true,6,1487,North,825
826,true,5,965,East,826
827,false,13,1951,West,827
828,false,8,,,
829,true,12,2045,West,829
830,false,4,1749,West,830
831,true,10,442,West,831
832,false,12,1767,South,832
833,true,2,,,
834,true,4,1272,North,834
835,false,11,1286,East,835
836,false,14,628,South,836
837,false,13,1092,North,837
838,false,11,652,East,838
839,true,2,,,
840,false,6,1742,East,840
841,false,14,1724,West,841
842,true,2,655,East,842
843,true,10,1581,West,843
844,true,14,1635,East,844
845,true,10,855,East,845
846,false,4,1900,West,846
847,false,4,1186,North,847
848,false,5,1963,East,848
849,true,5,1447,West,849
850,true,3,1588,West,850
851,true,7,997,South,851
852,false,6,1246,East,852
853,false,8,411,West,853
854,false,5,1231,North,854
855,false,9,,,
856,false,13,332,East,856
857,false,11,1887,West,857
858,false,10,1096,West,858
859,true,10,1151,North,859
860,false,9,1135,East,860
861,true,8,1119,South,861
862,true,5,1594,North,862
863,false,5,1658,North,863
864,true,10,1990,North,864
865,false,5,755,South,865
866,false,2,406,South,866
867,false,7,1125,West,867
868,true,11,1275,South,868
869,false,10,478,South,869
870,true,13,749,East,870
871,false,3,1618,North,871
872,false,11,190,North,872
873,false,9,1399,South,873
874,true,9,286,West,874
875,false,8,1782,North,875
876,true,5,986,West,876
877,false,10,1421,West,877
878,false,2,1315,West,878
879,true,6,966,West,879
880,true,11,705,East,880
881,true,5,921,South,881
882,false,6,1364,East,882
883,true,13,874,West,883
884,true,5,676,West,884
885,false,5,413,East,885
886,true,6,450,North,886
887,false,3,1770,East,887
888,false,6,1510,East,888
889,false,4,822,West,889
890,true,11,,,
891,true,13,443,South,891
892,false,2,,,
893,false,4,1442,North,893
894,false,9,,,
895,true,10,210,South,895
896,true,11,1916,South,896
897,true,2,1222,South,897
898,false,6,164,South,898
899,true,5,1614,South,899
900,true,9,1193,North,900
901,true,8,646,South,901
902,true,7,1806,East,902
903,false,5,771,East,903
904,false,13,676,East,904
905,false,12,377,East,905
906,true,10,1053,West,906
907,true,4,1380,East,907
908,false,4,1408,West,908
909,true,5,835,East,909
910,false,5,1746,West,910
911,false,2,1611,North,911
912,false,9,1064,West,912
913,true,2,1851,East,913
914,false,6,437,South,914
915,true,9,497,East,915
916,true,7,1012,South,916
917,true,2,2023,East,917
918,true,9,216,North,918
919,false,6,224,South,919
920,true,14,1527,West,920
921,true,6,1259,South,921
922,false,11,,,
923,false,10,766,North,923
924,true,7,1703,East,924
925,true,6,187,West,925
926,true,13,848,North,926
927,true,12,852,North,927
928,false,2,1773,South,928
929,true,8,277,East,929
930,true,13,830,West,930
931,false,5,371,West,931
932,true,7,828,South,932
933,false,14,1841,West,933
934,true,3,195,North,934
935,true,14,2002,West,935
936,false,13,889,North,936
937,true,13,964,South,937
938,true,13,1577,South,938
939,false,6,,,
940,false,14,216,East,940
941,true,14,1915,South,941
942,true,2,168,North,942
943,true,8,,,
944,true,12,735,East,944
945,false,5,286,East,945
946,false,10,1621,South,946
947,false,7,1670,East,947
948,false,14,1834,North,948
949,false,11,591,North,949
950,false,5,1682,South,950
951,true,11,1217,West,951
952,false,3,2045,West,952
953,false,12,440,North,953
954,true,3,2001,North,954
955,false,9,1103,North,955
956,true,7,354,South,956
957,false,11,1197,West,957
958,false,10,378,West,958
959,true,12,613,South,959
960,false,13,226,South,960
961,false,4,1839,West,961
962,false,2,1746,North,962
963,true,9,1711,North,963
964,true,8,801,West,964
965,false,14,,,
966,false,8,660,North,966
967,false,10,1471,West,967
968,true,8,437,West,968
969,false,6,1912,East,969
970,true,8,1220,North,970
971,false,8,1934,South,971
972,false,5,542,East,972
973,true,5,616,South,973
974,true,5,1693,East,974
975,true,12,1351,South,975
976,true,12,234,East,976
977,true,9,902,East,977
978,false,11,633,West,978
979,false,12,561,East,979
980,false,11,1212,North,980
981,true,8,1424,East,981
982,true,8,,,
983,true,12,1363,East,983
984,true,9,296,North,984
985,false,11,,,
986,false,10,,,
987,false,12,1748,North,987
988,true,11,1957,North,988
989,false,8,185,North,989
990,false,14,1194,West,990
991,true,4,839,West,991
992,true,3,229,East,992
993,false,9,1284,North,993
994,true,12,,,
995,false,12,1360,North,995
996,false,9,1958,East,996
997,false,5,,,
998,true,7,120,East,998
999,true,10,1672,West,999
1000,false,8,435,South,1000
